X                  ,Y                ,Slice
0.00110569076038632,-6.31700283952084,Slice 1
0.00221138152077263,-6.31741598127459,Slice 1
0.00331707228115895,-6.31858898623709,Slice 1
0.00442276304154532,-6.31900454322518,Slice 1
0.00552845380193164,                 ,Slice 1
0.00663414456231795,                 ,Slice 1
0.00773983532270427,-7.89842543416497,Slice 1
0.00884552608309058,-8.66562146281649,Slice 1
0.0099512168434769 ,-8.69546374637737,Slice 1
0.0110569076038633 ,-8.71088393978264,Slice 1
0.0121625983642496 ,-8.71540060625954,Slice 1
0.0132682891246359 ,-8.71405033521988,Slice 1
0.0143739798850222 ,-8.70445595759757,Slice 1
0.0154796706454085 ,-8.67940175126783,Slice 1
0.0165853614057949 ,-8.59443475824457,Slice 1
0.0176910521661812 ,-7.43653348159321,Slice 1
0.0187967429265676 ,-6.33121944948095,Slice 1
0.0199024336869539 ,-6.32749881585399,Slice 1
0.0210081244473402 ,-6.32794465834697,Slice 1
0.0221138152077265 ,-6.33091309433941,Slice 1
0.0232195059681128 ,-6.51360895336111,Slice 1
0.0243251967284991 ,-8.51416524954824,Slice 1
0.0254308874888855 ,-8.65329290464135,Slice 1
0.0265365782492718 ,-8.67509887656513,Slice 1
0.0276422690096581 ,-8.6583891853184 ,Slice 1
0.0287479597700445 ,-8.56617867233804,Slice 1
0.0298536505304308 ,-7.42013807684481,Slice 1
0.0309593412908171 ,-6.33155098884961,Slice 1
0.0320650320512035 ,-6.33061641908656,Slice 1
0.0331707228115898 ,-6.33089009819854,Slice 1
0.0342764135719761 ,                 ,Slice 1
0.0353821043323624 ,                 ,Slice 1
0.0364877950927487 ,                 ,Slice 1
0.037593485853135  ,-8.65810121887695,Slice 1
0.0386991766135214 ,-8.67637050018336,Slice 1
0.0398048673739077 ,-8.65518011130382,Slice 1
0.0409105581342941 ,-8.51819772463046,Slice 1
0.0420162488946804 ,-6.96377183071289,Slice 1
0.0431219396550667 ,-6.33215248295015,Slice 1
0.044227630415453  ,-6.33139566009071,Slice 1
0.0453333211758394 ,-6.33128714974927,Slice 1
0.0464390119362257 ,                 ,Slice 1
0.047544702696612  ,                 ,Slice 1
0.0486503934569983 ,                 ,Slice 1
0.0497560842173846 ,-8.66046439562414,Slice 1
0.050861774977771  ,-8.67611321514487,Slice 1
0.0519674657381573 ,-8.7181666344673 ,Slice 1
0.0530731564985437 ,-9.84971352590736,Slice 1
0.05417884725893   ,-11.1892420430945,Slice 1
0.0552845380193163 ,-10.9279287030733,Slice 1
0.0563902287797026 ,-6.78266137587192,Slice 1
0.0574959195400889 ,-6.32866217919444,Slice 1
0.0586016103004752 ,-6.32741876498563,Slice 1
0.0597073010608616 ,-6.61392951906451,Slice 1
0.0608129918212479 ,-11.0490721778583,Slice 1
0.0619186825816342 ,-11.290176182431 ,Slice 1
0.0630243733420206 ,-11.3230337468023,Slice 1
0.0641300641024069 ,-11.335164280081 ,Slice 1
0.0652357548627932 ,-11.3313181205271,Slice 1
0.0663414456231796 ,-11.308439956256 ,Slice 1
0.0674471363835659 ,-11.1795835638586,Slice 1
0.0685528271439522 ,-9.83856659237483,Slice 1
0.0696585179043385 ,-8.66996147206324,Slice 1
0.0707642086647248 ,-8.70035917972096,Slice 1
0.0718698994251111 ,-8.71034079747267,Slice 1
0.0729755901854975 ,-8.71167921744469,Slice 1
0.0740812809458838 ,-8.70708991170738,Slice 1
0.0751869717062701 ,-8.68886711637   ,Slice 1
0.0762926624666565 ,                 ,Slice 1
